"","model","MAPE","SDMAPE","width","p.in","absmax"
"1","mdj ~ amatc",3.73,3.22,6.39,0.53,12
"2","mdj ~ msstc",1.67,1.54,4.81,0.73,5
"3","mdj ~ pice",2.67,2.32,6.48,0.73,8
"4","mdj ~ amatc + msstc",1.93,1.71,6.17,0.8,7
"5","mdj ~ amatc + pice",3.07,2.22,8.19,0.67,9
"6","mdj ~ msstc + pice",1.8,1.37,6.8,0.87,5
"7","mdj ~ amatc + msstc + pice",1.73,1.39,8.21,0.87,6
